id,gender,masterCategory,categorical,articleType,baseColour,season,year,usage,productDisplayName,filename,link
12221,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2013.0,Formal,Basics Men Grey Trousers,fashion-product-images-dataset/fashion-dataset/images/12221.jpg,http://assets.myntassets.com/v1/images/style/properties/89aced8b3c4fa8ed6a48b403d5c81052_images.jpg
58308,Men,Accessories,Socks,Socks,Navy Blue,Summer,2016.0,Sports,Jockey LCESCBRA Men Pack of 3 Socks 2004,fashion-product-images-dataset/fashion-dataset/images/58308.jpg,http://assets.myntassets.com/v1/images/style/properties/Jockey-Men-Pack-of-3-Socks_0107550d912bcd0bb22db2883e3d3176_images.jpg
43773,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012.0,Ethnic,Royal Diadem Golden Earrings,fashion-product-images-dataset/fashion-dataset/images/43773.jpg,http://assets.myntassets.com/v1/images/style/properties/dbf89b1c47ef1a7a3c736d7c079ae664_images.jpg
19124,Women,Footwear,Flip Flops,Flip Flops,Pink,Fall,2011.0,Casual,Lotto Women XL Kelly Pink Slippers,fashion-product-images-dataset/fashion-dataset/images/19124.jpg,http://assets.myntassets.com/v1/images/style/properties/cd1874ab726cad7a6439f3886af1bd35_images.jpg
33469,Women,Accessories,Belts,Belts,Gold,Summer,2012.0,Casual,Baggit Women Capture Bar Gold Belt,fashion-product-images-dataset/fashion-dataset/images/33469.jpg,http://assets.myntassets.com/v1/images/style/properties/a0e7dbfc46d1abcb7083053e51aaa0d3_images.jpg
47067,Women,Apparel,Bottomwear,Patiala,Purple,Fall,2012.0,Ethnic,Shree Women Purple Patiala,fashion-product-images-dataset/fashion-dataset/images/47067.jpg,http://assets.myntassets.com/v1/images/style/properties/ad30fba0ee0eb7fcbaacfd09553600cc_images.jpg
36914,Men,Accessories,Wallets,Wallets,Brown,Winter,2016.0,Casual,Fossil Men Brown Estate Wallet,fashion-product-images-dataset/fashion-dataset/images/36914.jpg,http://assets.myntassets.com/v1/images/style/properties/69b317efd33a183e966d5ad221bff336_images.jpg
18704,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Hanes Men Blue Ultimate Duo Dry Cotton Stretch Hip Briefs,fashion-product-images-dataset/fashion-dataset/images/18704.jpg,http://assets.myntassets.com/v1/images/style/properties/762daca4379da6fa1fba21353c64f95d_images.jpg
24866,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Reid & Taylor Men Formal Black Belt,fashion-product-images-dataset/fashion-dataset/images/24866.jpg,http://assets.myntassets.com/v1/images/style/properties/048fb21b5cddf5bf4bafb5b507ba9872_images.jpg
24027,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Locomotive Men Printed Red T-shirt,fashion-product-images-dataset/fashion-dataset/images/24027.jpg,http://assets.myntassets.com/v1/images/style/properties/c8c5a64113fa48126a645d91b02e016b_images.jpg
49096,Women,Personal Care,Makeup,Compact,Skin,Spring,2017.0,Casual,Deborah Ultrafine Compact Powder 07,fashion-product-images-dataset/fashion-dataset/images/49096.jpg,http://assets.myntassets.com/v1/images/style/properties/Deborah-Ultrafine-Compact-Powder-07_9a32addd165e38493d81603ec58dc0bd_images.jpg
39809,Men,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Formal,Peter England Men Brown Trousers,fashion-product-images-dataset/fashion-dataset/images/39809.jpg,http://assets.myntassets.com/v1/images/style/properties/eefddcfcf7429e8521afbd8b91b557e8_images.jpg
44640,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,Nike Men Orange Mercurial Victory Sports Shoes,fashion-product-images-dataset/fashion-dataset/images/44640.jpg,http://assets.myntassets.com/v1/images/style/properties/3cd5b14c311e871a70d21567f0f1fcdd_images.jpg
52210,Women,Accessories,Jewellery,Pendant,White,Fall,2012.0,Casual,Lencia Sterling Silver Pendant,fashion-product-images-dataset/fashion-dataset/images/52210.jpg,http://assets.myntassets.com/v1/images/style/properties/Lencia-Women-Silver-Pendant_93a1ffc85e449e27364f2ed6598056aa_images.jpg
15076,Women,Apparel,Topwear,Kurtas,White,Fall,2011.0,Ethnic,Mother Earth Women Printed White Kurtas,fashion-product-images-dataset/fashion-dataset/images/15076.jpg,http://assets.myntassets.com/v1/images/style/properties/fdc21c374ac88ed555e7c73693b3a6ff_images.jpg
35807,Women,Footwear,Shoes,Heels,Pink,Summer,2012.0,Casual,Enroute Women Pink Flats,fashion-product-images-dataset/fashion-dataset/images/35807.jpg,http://assets.myntassets.com/v1/images/style/properties/c7ce650e7eff37d31c6176972478dbae_images.jpg
54862,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Ivory Tag Women Scintillating Mesh Green Necklace,fashion-product-images-dataset/fashion-dataset/images/54862.jpg,http://assets.myntassets.com/v1/images/style/properties/Ivory-Tag-Women-Scintillating-Mesh-Green-Necklace_dd103bcecef3274b8a876b409d19c2f1_images.jpg
43956,Women,Footwear,Sandal,Sports Sandals,Purple,Summer,2012.0,Casual,Puma Women Purple Techno Sandals,fashion-product-images-dataset/fashion-dataset/images/43956.jpg,http://assets.myntassets.com/v1/images/style/properties/ab1244dde780b3a3275ff5ace796ecf3_images.jpg
39324,Girls,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Girls Blue Shorts,fashion-product-images-dataset/fashion-dataset/images/39324.jpg,http://assets.myntassets.com/v1/images/style/properties/9bc2967021b24e25243e8dcf01763cd9_images.jpg
44216,Women,Footwear,Flip Flops,Flip Flops,White,Winter,2012.0,Casual,iPanema Women White Flip Flops,fashion-product-images-dataset/fashion-dataset/images/44216.jpg,http://assets.myntassets.com/v1/images/style/properties/671341702ea66a0a523d0763de8013a0_images.jpg
43259,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Aneri Women Purple Kurta,fashion-product-images-dataset/fashion-dataset/images/43259.jpg,http://assets.myntassets.com/v1/images/style/properties/87d6a96f6f2a8080e516b269c5bacf18_images.jpg
26003,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Paris Hilton Casual Men Perfumes,fashion-product-images-dataset/fashion-dataset/images/26003.jpg,http://assets.myntassets.com/v1/images/style/properties/765aff6b70e6abc8be226ecb27ca42ef_images.jpg
